question,correct,false
What is Operations?,manage resources to create goods or services,"['The process of planning and controlling resources.', 'The management of a company's finances.'', 'The marketing and sales of products.', 'The research and development of new products.']"
What are considerations for products?,Efficient production and quality,"['Cost and availability of raw materials', 'Target market demographics', 'Marketing and distribution strategies']"
What are considerations for services?,Quality at low cost,"['Speed of delivery and customer satisfaction', 'Technological advancement and innovation', 'Accessibility and geographical reach']"
How did Ford develop the assembly line?,standardize product process,"['Through increased worker specialization.', 'By implementing time-and-motion studies.', 'By utilizing interchangeable parts.']"
What is the result of the assembly line?,lower costs higher quality reliability,"['Lower costs', 'Higher quality', 'Increased reliability', 'All of the above']"
What were the social effects of the assembly line?,formed middle class,"['Increased social stratification', 'Decreased social mobility', 'Rise of a powerful aristocracy']"
Where does the strength of the Canadian economy lie?,Primary and Secondary industries,"['Tertiary and Quaternary industries', 'Tourism and Finance', 'Technology and Innovation']"
How can the Canadian economy be more competitive?,invest in education and appeal to talent,"['Increase corporate taxes.', 'Reduce environmental regulations.', 'Nationalize key industries.']"
What drives innovation in the Canadian economy?,Cooperation between government businesses and academia,"['Government regulation', 'Abundant natural resources', 'Low labor costs', 'High consumer spending']"
How can governments support innovation?,tax credits grants and help global outreach,"['Tax credits and grants', 'Deregulation and streamlined permitting processes', 'Investing in research and development', 'All of the above']"
What are the drivers of innovation?,leadership and workplace culture,"['Technological advancements', 'Government regulations', 'Market demand', 'Funding availability']"
Why do some companies lack innovation?,short term focus on success,"['Lack of skilled employees', 'Insufficient funding', 'Short-term focus on success', 'Poor market research', 'Ineffective leadership']"
What is productivity?,efficent transformation of inputs to outputs,"['Efficient transformation of inputs to outputs', 'The total number of units produced', 'The speed of production', 'The quality of the output']"
How can a company improve productivity?,reduce inputs or increase outputs,"['Increase employee salaries.', 'Implement a stricter dress code.', 'Shorten employee break times.']"
What steps can a company perform to improve productivity?,reduce activites that do not produce value reduce waste and improve quality,"['Reduce activities that do not produce value reduce waste and improve quality.', 'Increase employee hours automate all processes and outsource non-core functions.', 'Implement stricter deadlines micromanage employees and increase performance reviews.', 'Hire more employees invest in new technology without assessing needs and expand office space.']"
What are the three considerations for selecting company facilities?,proximity to customers proximity to resources government support,"['Accessibility cost security', 'Size location infrastructure', 'Technology workforce environmental impact']"
Why would a business wish to be closer to customers?,reduced transportation costs when near transportation routes,"['Reduced marketing costs', 'Improved customer service', 'Increased brand awareness', 'Reduced transportation costs']"
What government support might a business consider?,tax credits and laws,"['Tax breaks and incentives', 'Grants and subsidies', 'Loans and loan guarantees', 'Regulatory frameworks and legislation', 'All of the above']"
What is the importance of an optimized layout?,Improve workflow by reducing distance between steps,"['Enhanced user experience', 'Improved workflow by reducing distance between steps', 'Increased brand recognition', 'Better search engine optimization (SEO)']"
What are the three layout types?,product/line process/functional fixed position,"['sequential parallel concurrent', 'linear circular radial', 'centralized decentralized distributed']"
What is a product/line layout?,An assembly line,"['A functional layout', 'A fixed-position layout', 'A process layout']"
What is a process/functional layout?,products go through different stations,"['A layout where similar machines and processes are grouped together.', 'A layout that arranges work centers according to the sequence of operations.', 'A layout designed for efficient flow of materials.', ""A layout based on the product's final destination.""]"
What is a Fixed Position layout?,Employees work around the product,"['A layout where machines are arranged according to the sequence of operations.', 'A layout that groups similar machines together.', 'A layout that arranges departments based on their workflow.']"
What is Customer-Facing Services?,designed to support customers,"['Direct interaction with customers to address their needs and resolve issues.', 'Internal processes that indirectly support customer interactions.', 'Marketing and advertising efforts aimed at attracting new customers.', 'Product development and design based on customer feedback.', 'Financial planning and budgeting for the company.']"
What is the goal of operations control?,low cost timely and acceptable quality,"['Maximum profit', 'High market share', 'Technological innovation']"
