question,correct,false
What is the goal of Accounting?,statements provide insight into company performance,"['To provide financial information for decision-making.', 'To ensure compliance with tax regulations.', 'To record all financial transactions.', ""To manage a company's cash flow.""]"
What is the accounting?,process of recording summarzing and analyzing transactions,"['The process of identifying measuring and communicating economic information to permit informed judgments and decisions by users of the information.', 'The systematic recording summarizing and interpreting of financial transactions and events.', 'The art of recording classifying and summarizing in a significant manner and in terms of money transactions and events which are in part at least of a financial character and interpreting the results thereof.', 'All of the above.']"
What transactions might be recorded?,buying supplies paying employees loans sales,"['Buying supplies', 'Paying employees', 'Loans', 'Sales', 'All of the above']"
What are the three key steps in accounting?,inputs processing outputs,"['Debits Credits Reconciliation', 'Assets Liabilities Equity', 'Budgeting Forecasting Reporting']"
What is the Input step of Accounting?,document transactions,"['Identifying and measuring economic events', 'Journalizing transactions', 'Posting to the ledger', 'Preparing financial statements', 'Analyzing financial statements']"
What is done in the Processing step of Accounting?,record and categorize inputs,"['Analyzing and classifying transactions.', 'Summarizing financial data into reports.', 'Recording transactions in journals.', 'Interpreting financial statements.']"
What is done in the Output step of Accounting?,report,"['Financial statements are prepared and analyzed.', 'Transactions are recorded in journals.', 'Source documents are gathered and verified.', 'Accounts are adjusted and closed.']"
How can Software aid accounting?,keep records access data consistent records,"['Maintain consistent records', 'Improve data access', 'Facilitate record-keeping', 'All of the above']"
"Despite the introduction of software, accountants are needed for",qualitative analysis and analyzing outputs,"['Data entry and bookkeeping', 'Routine calculations and report generation', 'Software maintenance and troubleshooting']"
How might internal stakeholders be treated differently from external stakeholders?,internal wants detailed reports external care about balance,"['Internal stakeholders receive more frequent and detailed reports while external stakeholders receive summarized high-level information.', ""Internal stakeholders are prioritized in decision-making while external stakeholders' needs are considered only when they affect the organization's bottom line."", 'Internal stakeholders are subject to stricter confidentiality agreements while external stakeholders have more freedom to disclose information.', ""Internal stakeholders receive greater financial incentives while external stakeholders are compensated primarily through the market value of the organization's products or services.""]"
What are three examples of Internal stakeholders?,marketing operations human resources,"['Customers Suppliers Government', 'Investors Creditors Media', 'Competitors Community Employees']"
Why does Marketing care about accounting reports?,set prices marketing costs impact of marketing,"['Set prices', 'Marketing costs', 'Impact of marketing']"
Why does Operations care about accounting reports?,monitor costs stay in budget,"['To monitor costs and stay within budget.', 'To determine employee salaries.', 'To understand market trends.', 'To improve product design.']"
Why does Human Resources care about accounting reports?,managing salaries,"['To manage salaries.', 'To improve employee morale.', 'To develop training programs.', 'To track employee absenteeism.']"
