question,correct,false
What are demands of an entrepreneur?,manage uncertainty take risks creativity and problem solving,"['Working a standard 9-to-5 schedule', 'Guaranteed financial success and stable work-life balance', 'Relying solely on external investors for funding']"
What is entrepreneurship?,getting a business idea and implementing that idea,"['Investing in existing businesses without being actively involved in operations', ""The ability to take over and manage someone else's business"", 'The process of managing a well-established company with minimal risk']"
What opportunities does the University of Waterloo provide for Entrepreneurs?,Velocity Problem Lab Co-op,"['Traditional classroom learning only', 'Government-run startup grants without mentorship', 'Limited support, focusing primarily on engineering students']"
What does Waterloo's Velocity program provide?,guidance for students to turn idea to product to commericalize,"[' Classroom-based learning focused on entrepreneurship theory', 'Funding for personal projects with no accountability', 'Part-time jobs for students with established businesses']"
What is the Problem Lab?,place for students to tackle billion dollar problems,"['traditional classroom where students solve theoretical problems', 'lab focused on creating new products for engineering students', 'program that provides funding without focusing on problem-solving']"
What are the benefits of part-time or co-op jobs?,find passions build technical skills expose to different organizational structures,"['Limited experience with no industry connections', 'Higher pay than full-time positions with no skill development', 'Opportunities to work without needing to manage time efficiently']"
What skills do entrepreneurs require?,passion tolerate uncertainty growth mindset confidence,"['avoid risk and focus solely on technical expertise', 'focus on routine tasks and avoiding innovation', 'skills in one specific area with no need for business knowledge']"
Why might you want to be an entrepreneur?,independence flexibility define own success,"['avoid responsibility and work fewer hours', 'follow a predictable career path without risk', 'ensure guaranteed financial stability']"
How might entrepreneurs define their own success?,satisfaction from running own business set own goals,"['by the amount of profit they make', 'having complete control over their employees', 'avoiding risks and staying in their comfort zone']"
Why has entrepreneurship grown?,education tech social acceptance support systems,"['lack of job opportunities in established industries', 'larger corporations have stopped hiring', 'starting a business guarantees success and financial security']"
How has education come to support entrepreneurship?,new courses workshops online resources incubators,"['focusing on theoretical knowledge without practical applications', 'discouraging students from taking risks and trying new ideas', 'eliminating all non-business-related courses from the curriculum']"
How has technology come to support entrepreneurship?,tech is cheaper social media online stores,"['more difficult for businesses to reach their customers', 'creating monopolies that limit competition', 'requiring entrepreneurs to invest heavily in physical infrastructure']"
How can companies build intrapreneurship?,run competitions for research and development that involve multiple departments,"['maintaining rigid hierarchical structures and discouraging innovation', 'limiting employee input on projects and focusing only on established products', 'ensuring that all employees have the same job responsibilities and tasks']"
Which of the following is an example of how companies build intrapreneurship?,Hasbro running toy competitions,"['Microsoft strict guidelines that limit employee innovation', 'Ford policy of keeping all employees in traditional roles without encouraging creativity', 'Coca-Cola focus solely on maintaining existing product lines without exploring new ideas']"
How can companies incorporate intrapreneurship into their daily operations?,innovation pipelines,"['enforcing strict policies that discourage independent thinking', 'limiting access to resources and tools for project development', 'requiring all projects to follow a rigid approval process without room for flexibility']"
The intrapreneur mindset ,reflects on existing business processes ,"['follows established procedures and avoids risk', 'prioritizes individual work over collaboration and teamwork', 'maintains the status quo']"
What are the three stages of a New Venture?,birth breakthrough maturity,"['Idea Generation Market Analysis Product Launch', 'Development Growth Maturity', 'Concept Development Buisness Planning Execution']"
What happens in the birth stage?,define model initial customers focus on survival,"['expansion how to maintain growth', 'maintain relevance and competitiveness exit strategy', 'fully operational and generating substantial profits']"
What happens in the breakthrough stage,expansion how to maintain growth,"['define model initial customers', 'maintain relevance and competitiveness exit strategy', 'fully operational generating profits']"
what happens in the maturity stage,maintain relevance and competitiveness exit strategy,"['expansion how to maintain growth', 'define model initial customers', 'fully operational generating profits']"
what sort of leaders are needed in the birth phase?,risktaker aggressive approach,"['caretaker keep things smooth as upscaling', 'surgeon evaluate and cut extraneous parts', 'authoritarian to control the company']"
What sort of leaders are needed in the expansion phase?,caretaker keep things smooth as upscaling,"['risktaker aggressive approach', 'surgeon evaluate and remove extraneous parts', 'authoritarian control employees']"
What sort of leaders are needed in the maturity phase?,surgeon evaluate and remove extraneous parts,"['caretaker keep things smooth as upscaling', 'risktaker aggressive approach', 'authoritarian control employees']"
When Buffer Box created pickup locations on campus that was its,Birth stage,"['Maturity stage', 'Exit Stage', 'Growth Stage']"
When occured during Buffer Box's growth stage?,pickup boxes were set up at Go stations,"['acquired by google', 'set up pickup locations on campus', 'created boxes where parcels could be picked up']"
"When Google acquired Buffer Box, that was which stage?",maturity,"['growth', 'birth', 'exit']"
