question,correct,false
What is the goal of Human Resource Management?,attract and retain talent,"['Maximize profits.', 'Improve employee productivity.', 'Increase shareholder value.']"
Who might perform HR at a smaller company?,finance manager,"['A dedicated HR manager', 'The CEO', 'An outsourced HR firm']"
What is the employee lifecycle?,How employees move through a company,"['The process of onboarding new hires.', 'The period an employee works for a company.', 'The stages of employee performance evaluation.', ""The company's internal communication system.""]"
What is the importance of a good employee experience?,build company reputation,"['Increased employee productivity', 'Improved employee retention', 'Enhanced company reputation', 'Stronger company culture']"
What are the five steps to recruitment?,job description recruiting tools initial screening interview job offer,"['Initial Screening Job Description Interview Recruiting Tools Job Offer', 'Recruiting Tools Job Description Initial Screening Interview Job Offer', 'Job Description Initial Screening Recruiting Tools Interview Job Offer', 'Interview Job Description Initial Screening Recruiting Tools Job Offer']"
What is the goal of recruitment?,To attract and select quality talent,"['To fill open positions quickly.', 'To reduce employee turnover.', 'To improve company morale.']"
What might be included in a job description?,responsibilities working conditions qualifications,"['Responsibilities', 'Working Conditions', 'Qualifications', 'All of the above']"
What is an Internal recruiting tool?,look within company to fill position,"['A software used to post jobs on external job boards.', 'A system for tracking applicant progress through the hiring process.', 'A process of looking within the company to fill a position.', 'A method for outsourcing the recruitment process.']"
What are some External recruiting tools?,universities company websites social media job boards advertising employment agencies word of mouth,"['Company websites social media job boards and advertising', 'Employment agencies social media word of mouth and universities', 'Job boards advertising employment agencies and company websites', 'All of the above']"
What are the four main initial screenings?,software phone interviews review social media background checks,"['Phone interviews', 'Software', 'Review', 'Social Media', 'Background checks']"
What are some software screenings?,scan resume for keywords or questionnaires,"['Scan resume for keywords', 'Questionnaires', 'Both A and B', 'None of the above']"
What might be checked in a background check?,degrees experience police checks,"['Education and degrees', 'Employment history and experience', 'Criminal records and police checks', 'All of the above']"
What are considerations for an Interview?,facilities how to evaluate who is present,"['Logistics (location time technology) and interviewer/interviewee preparation.', 'Candidate qualifications and experience relative to the job description.', 'Legal compliance (discrimination privacy) and ethical considerations.', 'All of the above.', 'None of the above.']"
What should an interview reveal about the applicant?,ability personality motivation ,"['Solution ability', 'Personality', 'Motivation', 'All of the above']"
How might an interview evaluate the ability of the applicant?,Employee Assessments either verbal or written,"['Behavioral questions', 'Technical skills tests', 'Personality assessments', 'All of the above', 'None of the above']"
What is the goal of onboarding?,teach about organization responsibilities and team,"['To ensure employees understand their roles and responsibilities.', 'To integrate new hires into the company culture.', 'To facilitate the completion of necessary paperwork.', 'To help new hires meet their performance goals quickly.', 'All of the above']"
What might be communicated during onboarding?,work hours code of conduct dress code workplace safety confidentiality requirements performance evaluations emergency procedures,"['Work hours code of conduct and dress code', 'Workplace safety confidentiality requirements and emergency procedures', 'Performance evaluations only', 'All of the above']"
How can a company make an applicant feel welcomed?,treat them as a full time employee,"['Providing a thorough company overview and benefits package before the interview.', 'Responding promptly to all communication and scheduling interviews efficiently.', 'Offering a competitive salary and generous benefits package.', 'Treating them as a full-time employee from the moment they apply.', 'Making the interview process challenging to assess their capabilities.']"
What is the purpose of development?,To train employees,"['To improve employee skills and knowledge.', 'To increase company profits.', 'To meet regulatory requirements.', 'To boost employee morale.']"
What should be the effect of development on employees?,raise satisfaction productivity and empowers them,"['Increased stress and burnout', 'Decreased morale and engagement', 'No significant change in employee well-being']"
What are the five types of employee development?,On-the-Job Off-the-Job online apprenticeship job simulations,"['On-the-Job Training Off-the-Job Training Mentoring Coaching Job Shadowing', 'Formal Training Informal Training Experiential Learning Mentoring Coaching', 'Job Rotation Job Enrichment Skill Development Career Planning Performance Management']"
What is On-the-job training?,learn by doing or watching,"['Learning new skills through formal classroom instruction.', 'Learning by doing or watching.', 'Receiving training materials via email.', 'Attending online webinars.']"
What is the breakdown of the 10-20-70 rule?,10% classroom 20% mentoring 70% on the job,"['10% planning 20% execution 70% review', '10% classroom 20% mentoring 70% on-the-job', '10% reading 20% writing 70% speaking', '10% individual work 20% group work 70% presentations']"
What is off-the-job training?,training offsite from industry experts,"[""Training conducted at the employee's workplace."", ""Training provided by the employee's supervisor."", ""Training that takes place away from the employee's regular work location."", 'Training focused solely on on-the-job skills.']"
